node_id,lon,lat
1,11.5498035,48.1375509
2,11.5516074,48.1375403
3,11.5559027,48.1374958
4,11.5586377,48.1374426
5,11.5610259,48.1374144
6,11.5609356,48.1363408
7,11.5606937,48.1342444
8,11.5585645,48.1345175
9,11.5759742,48.1345353
10,11.5816570,48.1348228
11,11.5823307,48.1344359
12,11.5650832,48.1392117
13,11.5642297,48.1393374
14,11.5497000,48.1386511
15,11.5496533,48.1375520
16,11.5656174,48.1392275
17,11.5678080,48.1406916
18,11.5663775,48.1406524
19,11.5657568,48.1406995
20,11.5614497,48.1421453
21,11.5602278,48.1426236
22,11.5570187,48.1436023
23,11.5590271,48.1475353
24,11.5588948,48.1468789
25,11.5655411,48.1389151
26,11.5653498,48.1379117
27,11.5646343,48.1363777
28,11.5655382,48.1379039
29,11.5666337,48.1379361
30,11.5666852,48.1365554
31,11.5647292,48.1373960
32,11.5583572,48.1502653
33,11.5579734,48.1509700
34,11.5820490,48.1201687
35,11.5811881,48.1244835
36,11.5803539,48.1248132
37,11.5791218,48.1257286
38,11.5733219,48.1300185
39,11.5748442,48.1288906
40,11.5715249,48.1313614
41,11.5653251,48.1396237
42,11.5575184,48.1434870
43,11.5822722,48.1350497
44,11.5832426,48.1355663
45,11.5840740,48.1367230
46,11.5844682,48.1382573
47,11.5796159,48.1350710
48,11.5983081,48.1357225
49,11.6024663,48.1358049
50,11.5950781,48.1278625
51,11.5895066,48.1316844
52,11.5878080,48.1314764
53,11.5865241,48.1316792
54,11.5857160,48.1319148
55,11.5851805,48.1321566
56,11.5834374,48.1329968
57,11.6014314,48.1404410
58,11.5986324,48.1410840
59,11.5972632,48.1421378
60,11.5971180,48.1416523
61,11.5972890,48.1414026
62,11.5971287,48.1424393
63,11.5968328,48.1425287
64,11.5965373,48.1424859
65,11.5963625,48.1423508
66,11.5960614,48.1417486
67,11.5957809,48.1416154
68,11.5921713,48.1423367
69,11.5885034,48.1430748
70,11.5871804,48.1433627
71,11.5837403,48.1443263
72,11.5768184,48.1457766
73,11.5756001,48.1458070
74,11.5750875,48.1457195
75,11.5748542,48.1456099
76,11.5688062,48.1413108
77,11.5612749,48.1418116
78,11.6000974,48.1437351
79,11.5798204,48.1318968
80,11.5813112,48.1332740
81,11.5721703,48.1540458
82,11.5932276,48.1465401
83,11.5957509,48.1464602
84,11.5936378,48.1453829
85,11.5932300,48.1440969
86,11.5954860,48.1452688
87,11.5963871,48.1482958
88,11.5795559,48.1468282
89,11.5731487,48.1460976
90,11.5746071,48.1482135
91,11.5686673,48.1448200
92,11.5647768,48.1459273
93,11.5635878,48.1462649
94,11.5654268,48.1507950
95,11.5649463,48.1522168
96,11.5661583,48.1518871
97,11.5737246,48.1517315
98,11.5805644,48.1489839
99,11.5769013,48.1500034
100,11.5759606,48.1502783
101,11.5747329,48.1533012
102,11.5754691,48.1545205
103,11.5944693,48.1418543
104,11.5934038,48.1454584
105,11.5933372,48.1456819
106,11.5932717,48.1459761
107,11.5932203,48.1463792
108,11.5928290,48.1465865
109,11.6017179,48.1337699
110,11.6009919,48.1339774
111,11.5995563,48.1343538
112,11.6016818,48.1334868
113,11.6015777,48.1332933
114,11.6008150,48.1329403
115,11.5989939,48.1335497
116,11.5987384,48.1331939
117,11.5994585,48.1329718
118,11.5996915,48.1324290
119,11.5973638,48.1331812
120,11.5976346,48.1340007
121,11.5997336,48.1309679
122,11.6012791,48.1321492
123,11.5964240,48.1360057
124,11.5944265,48.1354080
125,11.5985053,48.1409177
126,11.5989968,48.1409312
127,11.6013048,48.1427008
128,11.5846960,48.1392225
129,11.5811389,48.1380836
130,11.5785810,48.1386390
131,11.5772912,48.1389406
132,11.5778062,48.1377818
133,11.5805311,48.1356626
134,11.5840302,48.1359047
135,11.5835350,48.1392271
136,11.5776021,48.1326886
137,11.5757721,48.1318894
138,11.5842469,48.1372923
139,11.5839005,48.1363516
140,11.5835640,48.1358631
141,11.5836622,48.1359808
142,11.5812827,48.1388673
143,11.5848499,48.1322869
144,11.5800783,48.1321394
145,11.5784143,48.1394129
146,11.5831090,48.1374083
147,11.5813515,48.1353841
148,11.5865603,48.1373076
149,11.5866499,48.1375093
150,11.5931454,48.1394967
151,11.5922314,48.1387939
152,11.5886440,48.1361498
153,11.5823941,48.1309672
154,11.5792665,48.1293038
155,11.5809444,48.1278836
156,11.5829711,48.1278653
157,11.5838977,48.1281596
158,11.5865002,48.1292437
159,11.5837986,48.1315707
160,11.5762235,48.1278589
161,11.5757141,48.1275949
162,11.5705111,48.1255533
163,11.5666016,48.1234878
164,11.5692262,48.1217644
165,11.5738209,48.1221547
166,11.5755770,48.1229173
167,11.5772086,48.1241991
168,11.5724645,48.1206563
169,11.5714106,48.1210857
170,11.5718514,48.1198839
171,11.5727408,48.1194122
172,11.5737865,48.1201180
173,11.5707524,48.1207330
174,11.5736328,48.1199507
175,11.5704631,48.1205556
176,11.5858504,48.1216600
177,11.5533038,48.1301792
178,11.5536076,48.1320045
179,11.5534367,48.1335128
180,11.5555148,48.1323948
181,11.5557955,48.1300071
182,11.5557539,48.1286059
183,11.5575209,48.1298862
184,11.5575750,48.1303809
185,11.5560183,48.1315359
186,11.5560657,48.1324073
187,11.5584882,48.1328136
188,11.5558655,48.1363843
189,11.5491113,48.1361210
190,11.5511485,48.1356799
191,11.5630722,48.1317303
192,11.5636376,48.1312559
193,11.5627618,48.1303380
194,11.5559368,48.1283779
195,11.5582471,48.1262950
196,11.5666196,48.1334364
197,11.5523059,48.1285949
198,11.5490016,48.1361264
199,11.5524991,48.1348332
200,11.5517694,48.1353464
201,11.5529503,48.1343277
202,11.5586169,48.1363488
203,11.5611225,48.1381490
204,11.5651342,48.1362538
205,11.5675141,48.1336666
206,11.5689929,48.1337772
207,11.5702018,48.1341241
208,11.5740557,48.1337873
209,11.5672121,48.1404001
210,11.5692763,48.1410141
211,11.5738129,48.1437737
212,11.5678829,48.1426860
213,11.5653310,48.1434309
214,11.5647493,48.1425268
215,11.5617938,48.1426448
216,11.5601976,48.1449297
217,11.5733343,48.1435212
218,11.5786179,48.1448299
219,11.5696111,48.1444894
220,11.5788404,48.1452656
221,11.5692943,48.1443372
222,11.5686510,48.1446165
223,11.5689891,48.1450248
224,11.5696601,48.1448211
225,11.5604310,48.1521822
226,11.5686070,48.1531849
227,11.5726259,48.1547379
228,11.5596666,48.1499550
229,11.5680381,48.1542923
230,11.5567119,48.1506705
231,11.5561887,48.1419864
232,11.5516597,48.1390368
233,11.5557095,48.1480635
234,11.5753851,48.1422891
235,11.5745213,48.1408165
236,11.5750136,48.1414390
237,11.5812563,48.1415125
238,11.5825027,48.1403831
239,11.5829731,48.1403445
240,11.5821583,48.1386991
241,11.5619330,48.1285535
242,11.5642766,48.1280966
243,11.5753402,48.1194881
244,11.5584277,48.1291031
245,11.5634633,48.1271432
246,11.5749958,48.1352964
247,11.5734009,48.1270776
248,11.5743952,48.1339949
249,11.5748968,48.1334099
250,11.5729458,48.1399746
251,11.5723580,48.1392684
252,11.5691435,48.1400170
253,11.5727503,48.1340357
254,11.5660554,48.1539228
255,11.5751781,48.1539980
256,11.5738274,48.1544041
257,11.5733706,48.1536989
258,11.5762589,48.1550139
259,11.5778277,48.1531258
260,11.5780304,48.1496775
261,11.5799805,48.1526610
262,11.5657524,48.1531626
263,11.5683285,48.1524255
264,11.5638441,48.1459623
265,11.5627419,48.1441849
266,11.5594881,48.1428140
267,11.5546115,48.1465276
268,11.5580628,48.1455347
269,11.5628845,48.1490475
270,11.5877404,48.1241032
271,11.5889901,48.1248465
272,11.5861455,48.1257466
273,11.5825171,48.1269391
274,11.5801340,48.1235920
275,11.5795723,48.1227481
276,11.5759996,48.1204223
277,11.5787943,48.1333855
278,11.5802451,48.1322930
279,11.5767013,48.1476155
280,11.5823273,48.1527323
281,11.5822880,48.1522075
282,11.5823507,48.1525513
283,11.5819050,48.1522837
284,11.5558549,48.1440212
285,11.5818238,48.1435296
286,11.5783681,48.1442751
287,11.5825727,48.1444857
288,11.5841182,48.1441737
289,11.5833051,48.1384795
290,11.5653047,48.1375698
291,11.5689180,48.1450046
292,11.5692086,48.1450429
293,11.5695437,48.1449386
294,11.5696984,48.1447102
295,11.5695432,48.1444337
296,11.5691230,48.1443295
297,11.5687673,48.1444563
298,11.5686375,48.1446791
299,11.5690762,48.1409408
300,11.5595575,48.1451220
301,11.5811000,48.1376213
302,11.5806830,48.1368879
303,11.5814249,48.1369250
304,11.5816504,48.1368109
305,11.5831115,48.1358724
306,11.5815748,48.1375712
307,11.5817287,48.1387829
308,11.5932107,48.1364449
309,11.5942603,48.1355805
310,11.5982710,48.1355892
311,11.5963731,48.1359085
312,11.5978968,48.1356300
313,11.6025002,48.1356805
314,11.5933390,48.1360141
315,11.5947318,48.1356241
316,11.5937416,48.1356938
317,11.5952840,48.1358695
318,11.5879476,48.1253814
319,11.5835275,48.1265475
320,11.5696919,48.1411646
321,11.5713079,48.1416679
322,11.5709366,48.1421939
323,11.5693509,48.1416911
324,11.5731132,48.1422402
325,11.5733616,48.1425414
326,11.5557310,48.1325130
327,11.5557775,48.1312314
328,11.5817696,48.1353311
329,11.5716559,48.1351309
330,11.5706648,48.1344906
331,11.5679311,48.1341030
332,11.5690622,48.1375213
333,11.5651451,48.1366256
334,11.5707082,48.1388051
335,11.5713783,48.1372517
336,11.5740951,48.1353976
337,11.5667411,48.1362738
338,11.5663856,48.1362560
339,11.5670287,48.1346830
340,11.5658325,48.1366404
341,11.5667324,48.1379345
342,11.5683986,48.1362946
343,11.5700608,48.1361256
344,11.5674606,48.1347475
345,11.5813913,48.1353144
346,11.5814840,48.1350523
347,11.5818751,48.1353156
348,11.5815356,48.1353634
349,11.5712108,48.1337332
350,11.5814133,48.1447218
351,11.5790494,48.1441279
352,11.5805333,48.1438063
353,11.5842173,48.1436911
354,11.5838175,48.1428894
355,11.5786437,48.1378772
356,11.5790859,48.1384713
357,11.5795937,48.1375977
358,11.5799449,48.1391224
359,11.5796596,48.1387853
360,11.5659447,48.1396282
361,11.5721721,48.1372842
362,11.5762909,48.1318756
363,11.5757392,48.1315354
364,11.5762725,48.1315155
365,11.5760760,48.1319494
366,11.5759141,48.1319418
367,11.5763447,48.1315745
368,11.5758615,48.1314743
369,11.5756453,48.1316923
370,11.5761517,48.1314664
371,11.5759913,48.1314521
372,11.5763910,48.1317435
373,11.5756654,48.1316199
374,11.5762080,48.1319187
375,11.5763931,48.1316686
376,11.5755828,48.1284223
377,11.5749072,48.1333265
378,11.5780511,48.1302657
379,11.5758933,48.1282167
380,11.5798636,48.1287956
381,11.5800595,48.1286224
382,11.5853082,48.1294060
383,11.5818151,48.1204408
384,11.5819782,48.1208239
385,11.5822571,48.1207683
386,11.5835670,48.1280198
387,11.5836370,48.1279063
388,11.5798908,48.1251739
389,11.5843242,48.1285293
390,11.5862153,48.1285211
391,11.5857748,48.1278335
392,11.5855588,48.1278138
393,11.5821407,48.1216120
394,11.5833575,48.1226130
395,11.5846085,48.1231275
396,11.5855350,48.1240281
397,11.5858167,48.1243755
398,11.5863832,48.1259935
399,11.5865229,48.1262250
400,11.5871313,48.1270948
401,11.5880024,48.1282896
402,11.5884412,48.1293016
