node_id,lon,lat,elevation
1,11.5498035,48.1375509,526.0
2,11.5516074,48.1375403,526.0
3,11.5559027,48.1374958,523.0
4,11.5586377,48.1374426,524.0
5,11.5610259,48.1374144,528.0
6,11.5609356,48.1363408,528.0
7,11.5606937,48.1342444,525.0
8,11.5585645,48.1345175,523.0
9,11.5759742,48.1345353,520.0
10,11.5816570,48.1348228,518.0
11,11.5823307,48.1344359,518.0
12,11.5650832,48.1392117,527.0
13,11.5642297,48.1393374,523.0
14,11.5497000,48.1386511,526.0
15,11.5496533,48.1375520,526.0
16,11.5656174,48.1392275,527.0
17,11.5678080,48.1406916,526.0
18,11.5663775,48.1406524,523.0
19,11.5657568,48.1406995,523.0
20,11.5614497,48.1421453,524.0
21,11.5602278,48.1426236,521.0
22,11.5570187,48.1436023,525.0
23,11.5590271,48.1475353,520.0
24,11.5588948,48.1468789,520.0
25,11.5655411,48.1389151,527.0
26,11.5653498,48.1379117,527.0
27,11.5646343,48.1363777,524.0
28,11.5655382,48.1379039,527.0
29,11.5666337,48.1379361,527.0
30,11.5666852,48.1365554,525.0
31,11.5647292,48.1373960,524.0
32,11.5583572,48.1502653,524.0
33,11.5579734,48.1509700,522.0
34,11.5820490,48.1201687,536.0
35,11.5816015,48.1237304,519.0
36,11.5811881,48.1244835,516.0
37,11.5803539,48.1248132,516.0
38,11.5791218,48.1257286,519.0
39,11.5733219,48.1300185,522.0
40,11.5748442,48.1288906,516.0
41,11.5715249,48.1313614,520.0
42,11.5653251,48.1396237,523.0
43,11.5575184,48.1434870,525.0
44,11.5822722,48.1350497,518.0
45,11.5832426,48.1355663,521.0
46,11.5840740,48.1367230,517.0
47,11.5844682,48.1382573,517.0
48,11.5796159,48.1350710,521.0
49,11.5983081,48.1357225,526.0
50,11.6024663,48.1358049,525.0
51,11.5950781,48.1278625,532.0
52,11.5895066,48.1316844,519.0
53,11.5878080,48.1314764,519.0
54,11.5865241,48.1316792,516.0
55,11.5857160,48.1319148,516.0
56,11.5851805,48.1321566,517.0
57,11.5834374,48.1329968,517.0
58,11.6014314,48.1404410,531.0
59,11.5986324,48.1410840,526.0
60,11.5972632,48.1421378,519.0
61,11.5971180,48.1416523,523.0
62,11.5972890,48.1414026,523.0
63,11.5971287,48.1424393,519.0
64,11.5968328,48.1425287,519.0
65,11.5965373,48.1424859,519.0
66,11.5963625,48.1423508,519.0
67,11.5960614,48.1417486,519.0
68,11.5957809,48.1416154,514.0
69,11.5921713,48.1423367,515.0
70,11.5885034,48.1430748,517.0
71,11.5871804,48.1433627,518.0
72,11.5837403,48.1443263,514.0
73,11.5768184,48.1457766,519.0
74,11.5756001,48.1458070,519.0
75,11.5749861,48.1457754,529.0
76,11.5750127,48.1455794,519.0
77,11.5688062,48.1413108,521.0
78,11.5612749,48.1418116,524.0
79,11.6000974,48.1437351,527.0
80,11.5798204,48.1318968,523.0
81,11.5813112,48.1332740,519.0
82,11.5721703,48.1540458,516.0
